sample,SARS-CoV-2_NC_045512.2,ToBRFV_KT383474.1
Columbia_MO_20240102,3510,25002387
Columbia_MO_20240109,4099,27991900
Columbia_MO_20240116,11339,34155232
Columbia_MO_20240123,7332,24814951
Columbia_MO_20240130,7225,33948098
Columbia_MO_20240206,4039,21524376
Columbia_MO_20240213,4697,28752964
Columbia_MO_20240220,4853,29112805
Columbia_MO_20240227,1456,9016037
Columbia_MO_20240305,1080,9981124
Columbia_MO_20240312,839,10664384
Columbia_MO_20240319,473,6204262
Columbia_MO_20240326,439,10280155
Columbia_MO_20240402,409,10411889
Columbia_MO_20240409,164,11360470
Columbia_MO_20240416,220,10908253
Columbia_MO_20240423,1216,26100067
Columbia_MO_20240430,673,20606420
Columbia_MO_20240507,754,23084399
Columbia_MO_20240514,609,17014235
Columbia_MO_20240521,958,24115234
Columbia_MO_20240528,1958,49214938
Columbia_MO_20240604,2947,44839566
Columbia_MO_20240611,2166,87129741
Columbia_MO_20240618,808,12361584
Columbia_MO_20240625,1641,55127522
Columbia_MO_20240702,4201,82153496
Columbia_MO_20240709,850,8272844
Columbia_MO_20240716,1235,16535663
Columbia_MO_20240723,710,15442599
Columbia_MO_20240730,1123,20979528
Columbia_MO_20240806,251,3356795
Columbia_MO_20240813,412,3094348
Columbia_MO_20240820,429,2702150
Columbia_MO_20240827,76,382983
Columbia_MO_20240903,542,5723104
Columbia_MO_20240910,419,5315201
Columbia_MO_20240917,101,1551374
Columbia_MO_20240924,215,5942248
Columbia_MO_20241001,128,3225479
Columbia_MO_20241008,47,1153192
Columbia_MO_20241015,190,8118838
Columbia_MO_20241022,182,10063613
Columbia_MO_20241029,95,9477011
Columbia_MO_20241105,47,3528089
Columbia_MO_20241112,20,528888
Columbia_MO_20241119,25,1012355
Columbia_MO_20241126,198,8143647
Columbia_MO_20241203,182,3168079
Columbia_MO_20241210,322,7609708
Columbia_MO_20241217,197,2842428
Columbia_MO_20241224,1221,12426638
Columbia_MO_20241231,504,4612558
