sample,NC_045512.2,other_combined
raw_Columbia_MO_20240102,3373,3882711
raw_Columbia_MO_20240109,3915,5257090
raw_Columbia_MO_20240116,11297,16376465
raw_Columbia_MO_20240123,7371,10204294
raw_Columbia_MO_20240130,7305,6697506
raw_Columbia_MO_20240206,3869,5533280
raw_Columbia_MO_20240213,4496,4931915
raw_Columbia_MO_20240220,4657,12338136
raw_Columbia_MO_20240227,1494,2778547
raw_Columbia_MO_20240305,1066,2190678
raw_Columbia_MO_20240312,812,1977226
raw_Columbia_MO_20240319,478,996535
raw_Columbia_MO_20240326,413,2682175
raw_Columbia_MO_20240402,386,1951174
raw_Columbia_MO_20240409,135,1722412
raw_Columbia_MO_20240416,166,2135331
raw_Columbia_MO_20240423,1184,4911827
raw_Columbia_MO_20240430,623,5150983
raw_Columbia_MO_20240507,547,4197686
raw_Columbia_MO_20240514,304,3953893
raw_Columbia_MO_20240521,785,3766988
raw_Columbia_MO_20240528,1807,6434591
raw_Columbia_MO_20240604,2894,5715717
raw_Columbia_MO_20240611,1964,12688250
raw_Columbia_MO_20240618,693,2683599
raw_Columbia_MO_20240625,1365,9179379
raw_Columbia_MO_20240702,3857,14493956
raw_Columbia_MO_20240709,836,2772540
raw_Columbia_MO_20240716,1268,3123154
raw_Columbia_MO_20240723,668,2706712
raw_Columbia_MO_20240730,1035,5737479
raw_Columbia_MO_20240806,244,1394389
raw_Columbia_MO_20240813,423,1865026
raw_Columbia_MO_20240820,444,1396905
raw_Columbia_MO_20240827,77,187972
raw_Columbia_MO_20240903,539,2492882
raw_Columbia_MO_20240910,411,4553262
raw_Columbia_MO_20240917,89,1442437
raw_Columbia_MO_20240924,167,3823952
raw_Columbia_MO_20241001,58,1428012
raw_Columbia_MO_20241008,20,444271
raw_Columbia_MO_20241015,103,3046633
raw_Columbia_MO_20241022,64,3182562
raw_Columbia_MO_20241029,62,2763649
raw_Columbia_MO_20241105,28,945989
raw_Columbia_MO_20241112,17,99830
raw_Columbia_MO_20241119,22,217857
raw_Columbia_MO_20241126,170,2039699
raw_Columbia_MO_20241203,173,702083
raw_Columbia_MO_20241210,222,1221862
raw_Columbia_MO_20241217,176,541599
raw_Columbia_MO_20241224,1174,1766234
raw_Columbia_MO_20241231,468,631950
