sample,SARS-CoV-2_NC_045512.2,other_combined
raw_Columbia_MO_20250107,440,1084736
raw_Columbia_MO_20250114,168,402943
raw_Columbia_MO_20250121,206,661359
raw_Columbia_MO_20250128,92,278019
raw_Columbia_MO_20250204,320,556877
raw_Columbia_MO_20250211,176,249721
raw_Columbia_MO_20250218,310,1250504
raw_Columbia_MO_20250225,60,268045
raw_Columbia_MO_20250304,73,320476
raw_Columbia_MO_20250311,10,63009
raw_Columbia_MO_20250318,22,137751
raw_Columbia_MO_20250326,14,115360
raw_Columbia_MO_20250401,40,156995
raw_Columbia_MO_20250408,32,157545
raw_Columbia_MO_20250415,120,966927
raw_Columbia_MO_20250422,48,1105721
raw_Columbia_MO_20250429,36,681122
raw_Columbia_MO_20250506,35,1116097
raw_Columbia_MO_20250513,187,3138269
raw_Columbia_MO_20250520,52,2591352
raw_Columbia_MO_20250527,50,2901857
raw_Columbia_MO_20250603,70,5024918
raw_Columbia_MO_20250610,152,10597106
raw_Columbia_MO_20250617,230,10604515
raw_Columbia_MO_20250624,210,22510882
